,store_name,location,category_1,category_2,hashtags,preprocessed_telephones_list
0,포비전,C동 2F 2015-1호,원단,교직물,['#원단'],
1,루디아,N동 B1F 087호,원단,기타,"['#침구', '#누비원단']",02-2267-6605
2,형림사,N동 B1F 046호,원단,화섬,"['#침구', '#화섬']",02-2279-1557
2,형림사,N동 B1F 046호,원단,화섬,"['#침구', '#화섬']",02-2279-1558
2,형림사,N동 B1F 046호,원단,화섬,"['#침구', '#화섬']",02-2279-1557
2,형림사,N동 B1F 046호,원단,화섬,"['#침구', '#화섬']",02-2279-1558
3,형림사,N동 B1F 017호,원단,화섬,"['#침구', '#누비']",02-2279-1557
3,형림사,N동 B1F 017호,원단,화섬,"['#침구', '#누비']",02-2279-1558
3,형림사,N동 B1F 017호,원단,화섬,"['#침구', '#누비']",02-2279-1557
3,형림사,N동 B1F 017호,원단,화섬,"['#침구', '#누비']",02-2279-1558
4,한길상사,N동 B1F 003호,원단,기타,"['#심지', '#부직포']",02-2279-5761
5,홍성,N동 4F 062호,원단,화섬,['#화섬'],
6,서울상회,N동 4F 061호,원단,기타,['#면'],02-2263-3973
7,서영TEX,N동 4F 060호,원단,기타,['#면'],02-2279-8351
8,에덴직물,N동 4F 059호,원단,면직물,"['#원단전문', '#공단', '#치폰', '#요루', '#나염', '#면직물', '#원단의고수']",010-4119-1359
9,하남텍스,N동 4F 058호,원단,화섬,['#화섬'],02-2273-5203
10,서울상회,N동 4F 047호,원단,기타,['#면'],02-2263-3973
11,경선,N동 4F 046호,원단,화섬,"['#화섬', '#울']",02-2267-1326
12,양지사,N동 4F 045호,원단,기타,['#나염'],02-2272-3043
13,영일사,N동 4F 044호,원단,화섬,"['#화섬', '#면직']",02-2266-7126
14,아롱직물,N동 4F 043호,원단,화섬,['#화섬'],02-2266-4549
15,신한직물,N동 4F 042호,원단,기타,['#직기'],02-2285-4037
16,상원,N동 4F 041호,원단,화섬,['#화섬'],02-2274-0484
17,종로직물,N동 4F 040호,원단,기타,['#양복지'],02-2267-9322
18,신우직물,N동 4F 039호,원단,화섬,['#화섬'],02-2269-6139
19,지우상사,N동 4F 038호,원단,화섬,['#화섬'],02-2245-6129
20,영원직물,N동 4F 037호,원단,화섬,['#화섬'],02-2272-3873
21,지우상사,N동 4F 036호,원단,기타,['#면'],02-2245-6129
22,갈매기(부산상회),N동 4F 035호,원단,실크,['#실크'],02-2272-4777
23,그린상사,N동 4F 034호,원단,화섬,['#화섬'],02-2275-3927
24,그린상사,N동 4F 033호,원단,화섬,['#화섬'],02-2275-3927
25,지우상사,N동 4F 032호,원단,기타,['#면'],02-2245-6129
26,미래직물,N동 4F 031호,원단,모직물,"['#울원단', '#울혼방', '#실습용', '#수입원단']",01088002277
27,부성상사,N동 4F 030호,원단,화섬,['#화섬'],02-2272-3709
28,부성상사,N동 4F 029호,원단,화섬,['#화섬'],02-2272-3709
29,삼화실크,N동 4F 028호,원단,실크,['#실크'],02-2274-1013
30,창텍스,N동 4F 027호,원단,면직물,"['#면', '#직물']",02-2279-0424
31,창텍스,N동 4F 026호,원단,면직물,"['#면', '#직물']",02-2279-0424
32,신영텍스,N동 4F 025호,원단,화섬,['#화섬'],02-2277-2427
33,에이원,N동 4F 024호,원단,화섬,['#화섬'],
34,통일상사,N동 4F 023호,원단,화섬,['#화섬'],02-2275-4150
35,새동직물,N동 4F 022호,원단,화섬,['#화섬'],02-2269-9874
36,새동직물,N동 4F 021호,원단,화섬,['#화섬'],02-2269-9874
37,수레직물,N동 4F 020호,원단,기타,['#방모'],02-2264-1193
38,현대텍스,N동 4F 019호,원단,기타,[],
39,우정상사,N동 4F 018호,원단,화섬,['#화섬'],02-2278-1015
40,우정상사,N동 4F 017호,원단,화섬,['#화섬'],02-2278-1015
41,단비직물,N동 4F 016호,원단,화섬,"['#실크', '#화섬']",02-2268-1994
42,K.R(고려)/백호,N동 4F 015호,원단,교직물,['#직물'],02-2275-4014
43,K.R(고려)/백호,N동 4F 014호,원단,교직물,['#직물'],02-2275-4014
44,우리,N동 4F 013호,원단,화섬,['#화섬'],02-2277-7450
45,수직물,N동 4F 012호,원단,화섬,['#화섬'],
46,선율,N동 4F 011호,원단,화섬,['#화섬'],02-2267-1318
47,충남직물,N동 4F 010호,원단,화섬,['#화섬'],02-2269-6157
48,정우직물,N동 4F 009호,원단,화섬,['#화섬'],02-2264-5392
49,정우직물,N동 4F 008호,원단,화섬,['#화섬'],02-2264-5392
50,서초상사,N동 4F 007호,원단,화섬,['#화섬'],02-2267-7095
51,상미직물,N동 4F 006호,원단,화섬,"['#화섬', '#실크']",02-2267-1009
52,서초상사,N동 4F 005호,원단,화섬,['#화섬'],02-2267-7095
53,서초상사,N동 4F 004호,원단,화섬,['#화섬'],02-2267-7095
54,태양사,N동 4F 003호,원단,기타,['#나염'],010-5261-7402
55,태양사,N동 4F 002호,원단,기타,['#나염'],010-5261-7402
56,벽송,N동 4F 001호,원단,화섬,"['#화섬', '#스판물']",02-2265-3340
57,대경텍스,N동 3F 062호,원단,화섬,['#화섬직'],02-2265-0518
58,동우텍스,N동 3F 061호,원단,화섬,['#화섬'],02-2698-5568
59,바하텍스,N동 3F 060호,원단,화섬,['#화섬'],02-2266-5929
60,썬샤인,N동 3F 059호,원단,기타,['#방모'],02-2266-4488
61,HJ컴퍼니,N동 3F 058호,원단,,['#원단'],0
62,루디아,N동 3F 057호,원단,기타,['#원단'],02-2266-0908
63,석이네,N동 3F 056호,원단,기타,['#원단'],02-2272-2586
64,미소텍스,N동 3F 055호,원단,화섬,['#화섬'],02-2285-2927
65,카라,N동 3F 054호,원단,화섬,['#화섬'],02-2263-5624
66,대명,N동 3F 053호,원단,화섬,['#화섬'],
67,음성코리아,N동 3F 052호,원단,화섬,['#화섬'],02-2274-9996
68,음성코리아,N동 3F 051호,원단,화섬,['#화섬'],02-2274-9996
69,엘로디아,N동 3F 050호,원단,화섬,['#화섬'],
70,시온,N동 3F 049호,원단,화섬,['#화섬'],02-2269-4856
71,명품&에움,N동 3F 048호,원단,화섬,['#화섬직'],02-2267-9326
72,이삭,N동 3F 047호,원단,화섬,['#화섬'],02-2272-2711
73,휘닉스,N동 3F 046호,원단,화섬,['#화섬'],02-2261-4988
74,㈜L&Y Company,N동 3F 045호,원단,화섬,['#화섬'],02-2265-3498
75,HoHo,N동 3F 044호,원단,기타,['#직기'],02-2275-4894
76,The BARUK,N동 3F 043호,원단,기타,['#수입원단'],02-2261-2044
77,어썸,N동 3F 042호,원단,화섬,['#화섬'],
78,고운,N동 3F 041호,원단,화섬,['#화섬'],02-2274-4755
79,㈜L&Y Company,N동 3F 040호,원단,화섬,['#화섬'],02-2265-3498
80,㈜L&Y Company,N동 3F 039호,원단,화섬,['#화섬'],02-2265-3498
81,다올,N동 3F 038호,원단,화섬,['#화섬'],02-2269-3679
82,예인섬유,N동 3F 037호,원단,기타,['#모직'],02-2268-9950
83,모던,N동 3F 036호,원단,기타,['#수입원단'],02-2269-9948
84,모던,N동 3F 035호,원단,기타,['#수입원단'],02-2269-9948
85,블로섬,N동 3F 034호,원단,기타,['#모직'],02-2266-5397
86,금아직물,N동 3F 033호,원단,기타,"['#수입원단', '#방모']",02-2275-9976
87,홍성,N동 3F 032호,원단,화섬,"['#화섬', '#폴리']",02-2269-6691
88,제이비,N동 3F 031호,원단,화섬,"['#화섬', '#면직']",02-2272-8911
89,진텍스,N동 3F 030호,원단,기타,['#기타'],02-2266-6970
90,츄미,N동 3F 029호,원단,화섬,['#화섬'],02-2269-3948
91,P&K Textile,N동 3F 028호,원단,화섬,['#화섬직'],02-2273-2664
92,비아이,N동 3F 027호,원단,화섬,"['#화섬', '#폴리']",02-2275-6927
93,대양TEX,N동 3F 026호,원단,모직물,"['#마직', '#모직']",02-2274-0768
94,대양TEX,N동 3F 025호,원단,마직물,"['#마직', '#모직']",02-2274-0768
95,더패브릭(구.대양상사),N동 3F 024호,원단,마직물,"['#린넨', '#캐시미어', '#울', '#마직', '#모직']",010-7338-5778
96,하나섬유,N동 3F 023호,원단,기타,[],
97,조이텍스,N동 3F 022호,원단,화섬,"['#화섬', '#실크']",02-2266-0321
98,놀란토끼,N동 3F 021호,원단,화섬,"['#화섬', '#직물']",02-2266-7225
99,티와이텍스,N동 3F 020호,원단,기타,"['#수입캐시미어', '#알파카']",
100,한나,N동 3F 019호,원단,기타,"['#면', '#마', '#TR']",02-2276-1323
101,명품,N동 3F 018호,원단,기타,[],
102,윰1968,N동 3F 017호,원단,기타,['#스판'],02-2269-1968
103,성신텍스,N동 3F 016호,원단,기타,['#울'],02-2277-8235
104,대광,N동 3F 015호,원단,화섬,['#화섬'],02-2213-0647
105,울프,N동 3F 012호,원단,모직물,['#모직'],
106,강진,N동 3F 011호,원단,모직물,"['#마직', '#모직']",02-2268-6816
107,ST텍스타일,N동 3F 010호,원단,기타,['#직기'],02-2265-7880
108,영우 T&F Lead,N동 3F 009호,원단,교직물,"['#직물', '#교직']",02-2268-5568
108,영우 T&F Lead,N동 3F 009호,원단,교직물,"['#직물', '#교직']",02-2268-5569
108,영우 T&F Lead,N동 3F 009호,원단,교직물,"['#직물', '#교직']",02-2268-5568
108,영우 T&F Lead,N동 3F 009호,원단,교직물,"['#직물', '#교직']",02-2268-5569
109,영우 T&F Lead,N동 3F 008호,원단,교직물,"['#직물', '#교직']",02-2268-5568
109,영우 T&F Lead,N동 3F 008호,원단,교직물,"['#직물', '#교직']",02-2268-5569
109,영우 T&F Lead,N동 3F 008호,원단,교직물,"['#직물', '#교직']",02-2268-5568
109,영우 T&F Lead,N동 3F 008호,원단,교직물,"['#직물', '#교직']",02-2268-5569
110,영우 T&F Lead,N동 3F 007호,원단,교직물,"['#직물', '#교직']",02-2268-5568
110,영우 T&F Lead,N동 3F 007호,원단,교직물,"['#직물', '#교직']",02-2268-5569
110,영우 T&F Lead,N동 3F 007호,원단,교직물,"['#직물', '#교직']",02-2268-5568
110,영우 T&F Lead,N동 3F 007호,원단,교직물,"['#직물', '#교직']",02-2268-5569
111,한창TEX,N동 3F 006호,원단,기타,[],
112,다올니트,N동 3F 005호,원단,기타,['#니트'],02-2266-6625
113,아름직물,N동 3F 004호,원단,기타,['#양장지'],02-2266-7645
114,신한직물,N동 3F 003호,원단,기타,['#직기'],02-2275-4037
115,리치,N동 3F 002호,원단,모직물,"['#모직', '#수입원단', '#나염', '#방모', '#울']",02-2268-4288
116,나무,N동 3F 001호,원단,모직물,"['#원단', '#모직', '#수입원단']",02-2274-1549
117,경기실크,N동 2F 055호,원단,실크,['#실크'],02-2274-4937
118,경기실크,N동 2F 054호,원단,실크,['#실크'],02-2274-4937
119,세림,N동 2F 053호,원단,화섬,['#화섬'],070-8810-2547
120,에트로,N동 2F 052호,원단,기타,['#다이마루'],02-2268-9035
121,벌통,N동 2F 051호,원단,기타,['#나염'],02-2268-1967
122,벌통,N동 2F 050호,원단,화섬,"['#나염', '#무지']",02-2267-1967
123,인하우스,N동 2F 049호,원단,기타,"['#침장', '#요커버', '#순면이불', '#커튼원단']",02-2269-4818
124,인하우스,N동 2F 048호,원단,기타,"['#침장', '#요커버', '#순면이불', '#커튼원단']",02-2269-4818
125,안설매사무실,N동 2F 046호,원단,화섬,['#화섬'],
126,D&M,N동 2F 045호,원단,기타,['#다이마루나염'],02-2274-1294
127,D&M,N동 2F 044호,원단,기타,['#다이마루나염'],02-2274-1294
128,현주,N동 2F 043호,원단,화섬,"['#화섬', '#보드레']",02-2279-0874
129,마랑,N동 2F 042호,원단,화섬,['#화섬'],02-2272-4446
130,성화,N동 2F 041호,원단,기타,"['#마스마라', '#니트', '#스판전문']",02-2274-1294
131,대건,N동 2F 040호,원단,기타,"['#코튼', '#벨로아']",02-2267-4146
132,마랑,N동 2F 039호,원단,화섬,['#화섬'],02-2272-4446
133,마랑,N동 2F 038호,원단,화섬,['#화섬'],02-2272-4446
134,소망상사,N동 2F 037호,원단,기타,['#망사'],02-2269-0961
135,베틀,N동 2F 036호,원단,화섬,['#화섬직'],02-2264-1909
136,프론티어,N동 2F 029호,원단,화섬,['#기능성원단'],02-2274-7285
137,히트,N동 2F 028호,원단,기타,['#직물자수'],02-2268-5951
138,코디,C동 B1F 578호,원단,화섬,['#누비화섬'],02-2264-8380
138,코디,C동 B1F 578호,원단,화섬,['#누비화섬'],02-2264-8533
138,코디,C동 B1F 578호,원단,화섬,['#누비화섬'],02-2264-8380
138,코디,C동 B1F 578호,원단,화섬,['#누비화섬'],02-2264-8533
139,코디,C동 B1F 577호,원단,화섬,['#누비화섬'],02-2264-8380
139,코디,C동 B1F 577호,원단,화섬,['#누비화섬'],02-2264-8533
139,코디,C동 B1F 577호,원단,화섬,['#누비화섬'],02-2264-8380
139,코디,C동 B1F 577호,원단,화섬,['#누비화섬'],02-2264-8533
140,명성직물,C동 B1F 575호,원단,화섬,"['#이불', '#수예화섬']",02-2263-3512
140,명성직물,C동 B1F 575호,원단,화섬,"['#이불', '#수예화섬']",02-2266-1655
140,명성직물,C동 B1F 575호,원단,화섬,"['#이불', '#수예화섬']",02-2263-3512
140,명성직물,C동 B1F 575호,원단,화섬,"['#이불', '#수예화섬']",02-2266-1655
141,제일,C동 B1F 570호,원단,화섬,['#이불화섬'],02-2266-3105
141,제일,C동 B1F 570호,원단,화섬,['#이불화섬'],02-2266-3106
141,제일,C동 B1F 570호,원단,화섬,['#이불화섬'],02-2266-3105
141,제일,C동 B1F 570호,원단,화섬,['#이불화섬'],02-2266-3106
142,고려누비,C동 B1F 566호,원단,화섬,"['#누비이불', '#화섬']",02-2267-7659
143,하늘장식,C동 B1F 562호,원단,화섬,['#커튼화섬'],02-2265-5425
144,하늘장식,C동 B1F 561호,원단,화섬,['#커튼화섬'],02-2265-5425
145,앙상블,C동 B1F 137호,원단,기타,"['#업소용침구', '#까운']",02-2267-5500
146,앙상블,C동 B1F 136호,원단,기타,"['#업소용침구', '#까운']",02-2267-5500
147,통운,C동 B1F 135호,원단,기타,"['#수예', '#침구', '#원단']",02-2278-1650
148,고산누비,C동 B1F 117호,원단,기타,['#누비이불'],02-2276-1531
149,삼성직물,C동 B1F 116호,원단,기타,['#천연염색 누비이불'],02-2268-1871
149,삼성직물,C동 B1F 116호,원단,기타,['#천연염색 누비이불'],02-2277-0634
149,삼성직물,C동 B1F 116호,원단,기타,['#천연염색 누비이불'],02-2268-1871
149,삼성직물,C동 B1F 116호,원단,기타,['#천연염색 누비이불'],02-2277-0634
150,삼성직물,C동 B1F 115호,원단,기타,['#천연염색 누비이불'],02-2268-1871
150,삼성직물,C동 B1F 115호,원단,기타,['#천연염색 누비이불'],02-2277-0634
150,삼성직물,C동 B1F 115호,원단,기타,['#천연염색 누비이불'],02-2268-1871
150,삼성직물,C동 B1F 115호,원단,기타,['#천연염색 누비이불'],02-2277-0634
151,뜨레보,C동 B1F 112호,원단,기타,"['#커튼', '#침구용 원단']",02-2285-0652
151,뜨레보,C동 B1F 112호,원단,기타,"['#커튼', '#침구용 원단']",02-2285-0653
151,뜨레보,C동 B1F 112호,원단,기타,"['#커튼', '#침구용 원단']",02-2285-0652
151,뜨레보,C동 B1F 112호,원단,기타,"['#커튼', '#침구용 원단']",02-2285-0653
152,뜨레보,C동 B1F 111호,원단,기타,"['#커튼', '#침구용 원단']",02-2285-0652
152,뜨레보,C동 B1F 111호,원단,기타,"['#커튼', '#침구용 원단']",02-2285-0653
152,뜨레보,C동 B1F 111호,원단,기타,"['#커튼', '#침구용 원단']",02-2285-0652
152,뜨레보,C동 B1F 111호,원단,기타,"['#커튼', '#침구용 원단']",02-2285-0653
153,뜨레보,C동 B1F 110호,원단,기타,"['#커튼', '#침구용 원단']",02-2285-0652
